[ 5941.758501] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.457149] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.473282] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.489307] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.505467] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.521528] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.537552] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.553694] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.569754] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.586008] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.602041] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.618087] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.634160] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.650182] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.666198] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.682273] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.698349] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.714477] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.730506] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.746665] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.762692] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.778711] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.794959] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.811083] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.827210] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.843225] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.859312] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.875455] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.891481] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.907537] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.923658] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.939784] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.956069] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.972190] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5967.988246] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.004386] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.020535] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.036620] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.052745] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.068776] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.084848] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.100892] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.116939] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.133013] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.149120] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.165148] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.181212] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.197258] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.213313] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.229346] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.245372] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.261406] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.277483] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.293635] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.309829] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.326009] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.342037] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.358052] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.374066] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.390136] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.406199] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.422212] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.438299] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.454327] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.470345] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.486397] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.502531] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.518579] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.534709] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.550857] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.566898] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.582914] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.598970] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.615098] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.631229] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.647280] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.663330] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.679450] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.697890] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.714038] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.730082] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.746135] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.762299] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.778399] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.794452] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.810687] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.826740] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.842791] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.858962] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.874987] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.891008] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.907062] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.923112] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.939163] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.955216] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.971266] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5968.987304] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.003424] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.019476] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.035532] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.051618] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.067670] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.083723] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.099769] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.115829] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.131891] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.147955] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.163970] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.179993] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.196041] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.212074] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.228088] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.244103] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.260154] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.276305] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.292327] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.308403] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.324455] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.340681] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.356728] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.372777] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.388848] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.405445] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.421534] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.438555] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.454570] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.470583] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.486610] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.502852] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.518903] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.535025] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.551072] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.567125] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.583143] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.599157] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.615172] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.631189] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.647223] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.663281] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.679321] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.695355] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.711386] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.727440] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.743583] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.759812] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.776743] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.792773] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.808807] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.824839] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.840897] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.854023] DUALPI2: dualpi2_qdisc_enqueue - skb_qdelay: 5969680210132
[ 5969.856954] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.873009] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.889045] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.905185] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.921356] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.937441] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.953605] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.969751] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5969.985898] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.001939] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.018097] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.034123] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.050137] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.066164] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.082187] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.098203] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.114219] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.131037] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.147160] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.163212] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.179233] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.195248] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.211391] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.227507] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.235272] DUALPI2: dualpi2_qdisc_enqueue - skb_qdelay: 5970061458643
[ 5970.243565] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.259616] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.275716] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.291837] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.308038] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.324072] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.340198] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.356233] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.372302] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.388325] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.404352] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.420376] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.436404] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.452469] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.468532] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.484636] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.500663] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.516699] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.534383] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.550436] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.566450] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.582465] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.598513] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.614561] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.630611] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.646669] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.662795] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.678851] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.694899] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.710944] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.726993] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.743600] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.759627] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.775661] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.791735] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.807785] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.823828] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.839855] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.856005] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.872037] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.888064] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.904089] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.920273] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.936333] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.952413] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.968447] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5970.978709] DUALPI2: dualpi2_qdisc_enqueue - skb_qdelay: 5970804895785
[ 5970.984600] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.000731] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.016750] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.032800] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.048846] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.064936] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.080964] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.097023] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.113058] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.129088] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.145217] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.161252] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.177286] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.181511] DUALPI2: dualpi2_qdisc_enqueue - skb_qdelay: 5971007697821
[ 5971.193313] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.209347] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.225384] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.241425] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.252142] DUALPI2: dualpi2_qdisc_enqueue - skb_qdelay: 5971078328075
[ 5971.257505] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.273564] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.289589] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.305644] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.324688] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.340741] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.356758] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.372799] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.388878] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.404960] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.421006] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.437086] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.453205] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.469259] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.485313] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.501334] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.517350] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.533443] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.549500] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.565627] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.581677] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.597728] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.613847] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.629897] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.645969] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.662059] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.678133] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.694204] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.710217] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.726235] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.742276] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.758298] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.774325] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.790410] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.808024] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.824080] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.840111] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.856132] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.873226] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.889285] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.905311] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.921337] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.937408] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.953427] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.969467] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5971.988693] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.004985] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.021036] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.037095] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.053115] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.069351] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.087343] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.103368] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.119449] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.135537] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.151662] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.171004] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.187891] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.203948] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.220073] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.236132] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.252285] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.268403] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.284448] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.300462] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.316479] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.332608] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.349094] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.365216] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.383064] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.399294] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.415463] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.431517] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.448531] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.464688] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.480766] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.496824] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.511178] DUALPI2: dualpi2_qdisc_enqueue - skb_qdelay: 5972337364472
[ 5972.511911] DUALPI2: dualpi2_qdisc_enqueue - skb_qdelay: 5972338098540
[ 5972.512849] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.528905] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
[ 5972.544964] DUALPI2: calculate_probability - qdelay_c: 0, qdelay_l: 0
